# Dataset "300K (+)" exported from GenX on Fri Dec  9 11:04:04 2016
# Column lables:
# x	I_simulated	I	error(I)	error(x)
8.817194218112001103e-03 1.000001211116153588e+00 1.010593999999999992e+00 2.994002000000000122e-02 4.080165521769448791e-04
8.901570106016000808e-03 1.000001211116153810e+00 9.958746000000000542e-01 2.760949999999999863e-02 4.081818571024263867e-04
8.987574985535999941e-03 1.000001211116153588e+00 1.022551999999999905e+00 2.664015000000000133e-02 4.083524114939722071e-04
9.075259237856000971e-03 1.000001211116153810e+00 9.759200999999999571e-01 2.500275000000000067e-02 4.085284125927410759e-04
9.164670095336001007e-03 9.996887610424346482e-01 1.033765999999999963e+00 2.495166000000000051e-02 4.087101414005975112e-04
9.255861087984000937e-03 9.994759534910356846e-01 9.875393999999999561e-01 2.379975000000000146e-02 4.088978507021527359e-04
9.348884696200002176e-03 9.993302164590662784e-01 9.988867000000000163e-01 2.364785999999999971e-02 4.090917487681716962e-04
9.443797598816000560e-03 9.960225518286568436e-01 9.721307000000000142e-01 2.308173000000000169e-02 4.092921938867391941e-04
9.540656474664000603e-03 9.939078792244133709e-01 8.956315000000000248e-01 2.158904999999999852e-02 4.094994067098144445e-04
9.639523250616000710e-03 9.924143793148854087e-01 9.896907000000000343e-01 2.188340000000000077e-02 4.097137721633268485e-04
9.740459853544001026e-03 9.795985714383078635e-01 9.757445999999999620e-01 2.092089999999999922e-02 4.099355681375311047e-04
9.843533458360000793e-03 9.728587598415018300e-01 9.777101999999999737e-01 2.044843000000000008e-02 4.101652115795726425e-04
9.948813339192001670e-03 9.577259364127165275e-01 9.468556000000000195e-01 1.966808999999999918e-02 4.104030020451420986e-04
1.005636667095199943e-02 9.355928913483984033e-01 9.605540999999999663e-01 1.942411999999999958e-02 4.106493659532765980e-04
1.016627322384800088e-02 9.218053530321433930e-01 9.070844999999999603e-01 1.832912999999999903e-02 4.109047926321766583e-04
1.027860856965600103e-02 8.838103351539687846e-01 8.944826999999999639e-01 1.768000999999999948e-02 4.111695621796346246e-04
1.039345247858400149e-02 8.583044724646994306e-01 8.574201999999999657e-01 1.677060000000000009e-02 4.114443465213890702e-04
1.051088996888000122e-02 8.244096826619733420e-01 8.272216000000000014e-01 1.614134999999999875e-02 4.117295189449311364e-04
1.063101760448000033e-02 7.902915086128770028e-01 7.754746999999999613e-01 1.531710000000000016e-02 4.120257305879349843e-04
1.075391620520000160e-02 7.643550082176064908e-01 7.645408000000000204e-01 1.497375999999999915e-02 4.123333709948783432e-04
1.087970122792000088e-02 7.274146608876118636e-01 7.657418000000000280e-01 1.468057000000000042e-02 4.126533059787719634e-04
1.100844614520000118e-02 7.008621325048618456e-01 6.812200000000000477e-01 1.351378999999999948e-02 4.129859289985676795e-04
1.114028740608000168e-02 6.726711306643561317e-01 6.743787999999999450e-01 1.323739999999999986e-02 4.133321335168728297e-04
1.127531947528000178e-02 6.484783687266911789e-01 6.502947999999999507e-01 1.279165999999999984e-02 4.136925941722428292e-04
1.141366830576000073e-02 6.255934299930150377e-01 6.481966999999999590e-01 1.241986999999999952e-02 4.140681137842058194e-04
1.155544935440000129e-02 6.041168768214303375e-01 6.042840999999999907e-01 1.178256999999999916e-02 4.144595524588135568e-04
1.170080956632000083e-02 5.835989919076843835e-01 5.821952999999999712e-01 1.146090999999999950e-02 4.148677775103292017e-04
1.184986439840000037e-02 5.638276678591787050e-01 5.420101000000000502e-01 1.092219000000000002e-02 4.152939050347837792e-04
1.200276079576000077e-02 5.446661966765637963e-01 5.287148000000000403e-01 1.049818999999999926e-02 4.157388797938556843e-04
1.215965619960000105e-02 5.260176095813388075e-01 5.187910000000000021e-01 9.939636999999999431e-03 4.162038767339992285e-04
1.232071854720000019e-02 5.078096508606801951e-01 5.087817999999999508e-01 9.377543999999999810e-03 4.166900917349607701e-04
1.248609478368000250e-02 4.899902868792870292e-01 4.848013999999999935e-01 8.827079999999999302e-03 4.171989122256312683e-04
1.265597383848000163e-02 4.725160028554196701e-01 4.638895000000000102e-01 8.523340000000000777e-03 4.177317565029500888e-04
1.283053414496000168e-02 4.553546832205355721e-01 4.425554999999999906e-01 8.094712999999999908e-03 4.182900742833853052e-04
1.300998562471999964e-02 4.384793072766972055e-01 4.366943999999999826e-01 7.721747999999999633e-03 4.188755548966900427e-04
1.319452770328000124e-02 4.218701761020692276e-01 4.118085000000000218e-01 6.974560000000000308e-03 4.194243370941772259e-04
1.319452770328000124e-02 4.218707010040713690e-01 4.256850999999999829e-01 7.496222999999999775e-03 4.194901130563627304e-04
1.338437030224000172e-02 4.055138489872835428e-01 3.895120000000000249e-01 6.566027000000000322e-03 4.200679923489648708e-04
1.338437030224000172e-02 4.055143509539394509e-01 3.992225999999999830e-01 7.165504999999999965e-03 4.201355672172495440e-04
1.357976532752000129e-02 3.893966627394823687e-01 3.909267000000000158e-01 6.256302000000000044e-03 4.207446353302796735e-04
1.357976532752000129e-02 3.893971451736974454e-01 3.644255000000000133e-01 8.069958000000000339e-03 4.208141264036177566e-04
1.378094369288000200e-02 3.735117692837369718e-01 3.706233999999999917e-01 5.956666000000000218e-03 4.214565724182741963e-04
1.398817829640000045e-02 3.578529403141758047e-01 3.452438999999999925e-01 5.585167999999999730e-03 4.222063134059461089e-04
1.420174203616000191e-02 3.424177111983317534e-01 3.393318000000000167e-01 5.379786999999999590e-03 4.229965516389111186e-04
1.442191830632000120e-02 3.272062045329703350e-01 3.258448999999999929e-01 5.173416000000000126e-03 4.238301747923217699e-04
1.464904298144000146e-02 3.122181793099095271e-01 3.176013999999999782e-01 5.093758999999999787e-03 4.247107131713185680e-04
1.488342044784000083e-02 2.974586022002366770e-01 2.887559000000000098e-01 5.029318999999999977e-03 4.256412265047759672e-04
1.512542856440000048e-02 2.829306719571205164e-01 2.841709000000000040e-01 4.992021000000000132e-03 4.266261694543479512e-04
1.537543469392000164e-02 2.686412069908286071e-01 2.692728999999999817e-01 4.759605000000000086e-03 4.276692068601151793e-04
1.563384818352000355e-02 2.545973703278066602e-01 2.487182000000000004e-01 4.438285000000000147e-03 4.287755839085989899e-04
1.590108887640000190e-02 2.408084731376326781e-01 2.410731000000000124e-01 4.239427999999999946e-03 4.299500598737486068e-04
1.617762909616000250e-02 2.272837632895964022e-01 2.331045999999999951e-01 4.095019000000000090e-03 4.311984953558627609e-04
1.646396215856000059e-02 2.140341594119517799e-01 2.214708999999999983e-01 3.998433000000000022e-03 4.325270679171420584e-04
1.676061286759999991e-02 2.010716802304189088e-01 2.053737999999999952e-01 3.928155000000000015e-03 4.339426752799959157e-04
