# Dataset "150K (+)" exported from GenX on Fri Dec  9 11:04:04 2016
# Column lables:
# x	I_simulated	I	error(I)	error(x)
8.891266530254999731e-03 1.000001211116153671e-01 9.573692000000000313e-02 3.344845999999999844e-03 4.079067179313407678e-04
8.975543804729998673e-03 1.000001211116153532e-01 9.982267999999999697e-02 3.004020999999999948e-03 4.080685530271463044e-04
9.061434799544999807e-03 1.000001211116153532e-01 9.857968000000000286e-02 2.772502999999999947e-03 4.082354736776343447e-04
9.148984340264999099e-03 9.997517285867643655e-02 9.951837999999998963e-02 2.652103999999999746e-03 4.084077227910050075e-04
9.238242464729999950e-03 9.995177991206152801e-02 9.707945999999999243e-02 2.517385000000000022e-03 4.085854856537951118e-04
9.329260253234999620e-03 9.993681781712381029e-02 9.969732000000000594e-02 2.472292000000000066e-03 4.087690578368421567e-04
9.422088786074998834e-03 9.968127899222213595e-02 9.998487999999999820e-02 2.418301999999999778e-03 4.089586946728543523e-04
9.516783313364999761e-03 9.944340135125218083e-02 9.947108000000000338e-02 2.382098000000000028e-03 4.091546068919475103e-04
9.613399085219999363e-03 9.928847624625583568e-02 9.667227000000000459e-02 2.323622999999999921e-03 4.093571643041435913e-04
9.711999691394999218e-03 9.824621632728794407e-02 8.966641999999999668e-02 2.180791999999999974e-03 4.095665840128817170e-04
9.812640382004999759e-03 9.750121041208537065e-02 9.552673000000000414e-02 2.169120999999999983e-03 4.097832651235938585e-04
9.915391001534998652e-03 9.696855234293198789e-02 9.520271999999999069e-02 2.085381999999999774e-03 4.100074823237332463e-04
1.002031618219499827e-02 9.421288080074431692e-02 9.232991000000000115e-02 2.004591000000000012e-03 4.102396696168716765e-04
1.012748576846999975e-02 9.273046953170827056e-02 9.059438000000000213e-02 1.940717999999999914e-03 4.104801236795771187e-04
1.023697168975499887e-02 8.984925902108695239e-02 8.841330000000000022e-02 1.878967999999999958e-03 4.107292864600721656e-04
1.034885213017499965e-02 8.690090597446722964e-02 8.344175000000000897e-02 1.772788000000000185e-03 4.109876544803214740e-04
1.046320423140000011e-02 8.479961337589692061e-02 8.071642999999999180e-02 1.692979999999999745e-03 4.112555121731901087e-04
1.058010513510000000e-02 8.055200154561086012e-02 7.997625999999999347e-02 1.633478999999999747e-03 4.115335491100384230e-04
1.069966429904999766e-02 7.781087932840136112e-02 7.778542000000000789e-02 1.579059000000000062e-03 4.118221344102601590e-04
1.082194427054999908e-02 7.444860372668261894e-02 7.225397000000000070e-02 1.491097000000000039e-03 4.121219446643354647e-04
1.094704929509999862e-02 7.165373618089397600e-02 6.992041000000000228e-02 1.444150999999999855e-03 4.124333584059490434e-04
1.107508361819999933e-02 6.894986453832299689e-02 6.816170000000000562e-02 1.396394000000000021e-03 4.127573080778703762e-04
1.120615148534999904e-02 6.645182944313490769e-02 6.676522000000000012e-02 1.350791999999999965e-03 4.130941451560891063e-04
1.134035714204999906e-02 6.416140696112833386e-02 6.247863000000000028e-02 1.285347000000000052e-03 4.134447966962941762e-04
1.147781525834999997e-02 6.199862760859400912e-02 6.150105999999999629e-02 1.255440999999999935e-03 4.138099715585524764e-04
1.161865092884999812e-02 5.994593609598874301e-02 5.699619000000000213e-02 1.174499000000000072e-03 4.141904569601887538e-04
1.176297882359999755e-02 5.797333571139628300e-02 5.892855000000000315e-02 1.174555000000000087e-03 4.145871228659182384e-04
1.191094488629999837e-02 5.606458250717989700e-02 5.496894000000000086e-02 1.124073000000000173e-03 4.150009266592545967e-04
1.206267421155000040e-02 5.420897083934751032e-02 5.004920000000000202e-02 1.058986999999999949e-03 4.154329451170669951e-04
1.221832316759999953e-02 5.239845215931596134e-02 4.834199000000000135e-02 1.012756999999999980e-03 4.158841625647218747e-04
1.237803769814999760e-02 5.062714043937001362e-02 4.848274000000000333e-02 9.695647999999999636e-04 4.163557963476070324e-04
1.254198459600000017e-02 4.889037032079932704e-02 4.831538999999999973e-02 9.222808000000000958e-04 4.168490305202712126e-04
1.271033065394999891e-02 4.718458399491168298e-02 4.633067999999999909e-02 8.709273999999999922e-04 4.173653545952395096e-04
1.288326351389999791e-02 4.550688244511758712e-02 4.341509999999999814e-02 8.322394999999999793e-04 4.179061496956464018e-04
1.306096039319999853e-02 4.385517655482813054e-02 4.261209999999999998e-02 8.018390000000000456e-04 4.184729138987253335e-04
1.317609954794999802e-02 4.282146969100723150e-02 4.313644999999999979e-02 7.760770999999999425e-04 4.189866235590821255e-04
1.324362978284999819e-02 4.222767244400633946e-02 4.369709000000000093e-02 7.799160000000000727e-04 4.190674180844891389e-04
1.336299088034999943e-02 4.120041904599313493e-02 4.134464999999999668e-02 7.221888999999999999e-04 4.196076828967863293e-04
1.355526128054999890e-02 3.960185427111793943e-02 3.862228999999999662e-02 6.755767000000000196e-04 4.202601117986336015e-04
1.375315051319999857e-02 3.802496354619173957e-02 3.651100999999999652e-02 6.239579999999999779e-04 4.209461101499929725e-04
1.395689834294999883e-02 3.646931844772574594e-02 3.633462999999999971e-02 6.093980999999999617e-04 4.216680430219487308e-04
1.416678623264999888e-02 3.493452622729889545e-02 3.476743000000000194e-02 5.793436999999999806e-04 4.224284182569160552e-04
1.438306437149999839e-02 3.342075230778465689e-02 3.462559999999999943e-02 5.619559999999999573e-04 4.232300248291583403e-04
1.460606634509999807e-02 3.192788271584167531e-02 3.209714000000000317e-02 5.306579000000000070e-04 4.240758851828762112e-04
1.483608404084999985e-02 3.045639596723124370e-02 3.141491999999999896e-02 5.235170000000000361e-04 4.249694723879469320e-04
1.507345104434999923e-02 2.900676944840258412e-02 3.008577000000000126e-02 5.310402999999999782e-04 4.259140214764477379e-04
1.531855306394999845e-02 2.757944877249234733e-02 2.866853999999999930e-02 5.184919999999999547e-04 4.269140397382241306e-04
1.557175495889999949e-02 2.617528160707875001e-02 2.516707999999999792e-02 4.752728000000000551e-04 4.279732777508895116e-04
1.583346328664999789e-02 2.479513541998422735e-02 2.502874999999999892e-02 4.603345000000000223e-04 4.290970780604314657e-04
1.610411587829999741e-02 2.343997061217413524e-02 2.395693000000000128e-02 4.369495000000000150e-04 4.302903727154606017e-04
1.638419226315000060e-02 2.211079941160324150e-02 2.192203000000000207e-02 4.102544999999999868e-04 4.315590601595104903e-04
1.667417197050000133e-02 2.080888475265154497e-02 2.126449000000000047e-02 4.049587999999999690e-04 4.329095859636743768e-04
1.697460750150000044e-02 1.953540129208757720e-02 2.059319999999999901e-02 4.067738000000000321e-04 4.343488630240097690e-04
1.728607220639999734e-02 1.829168708343723027e-02 1.859020000000000117e-02 4.019728000000000081e-04 4.358852927574524000e-04
1.760918113364999885e-02 1.707914778127123459e-02 1.746624000000000093e-02 3.792593999999999826e-04 4.375268254935804862e-04
1.794459102989999846e-02 1.589925948699144609e-02 1.629336999999999799e-02 3.549415000000000100e-04 4.392838257434935494e-04
1.829303161364999666e-02 1.475346580921607642e-02 1.466522000000000138e-02 3.267396000000000319e-04 4.411668454023375419e-04
1.865526387704999692e-02 1.364332820063413575e-02 1.412638999999999909e-02 3.113774000000000251e-04 4.431880310990359028e-04
1.903214263319999780e-02 1.257032819657966788e-02 1.269432000000000026e-02 2.922852999999999779e-04 4.453609031031349774e-04
1.942455396884999741e-02 1.153606054371514658e-02 1.196819000000000008e-02 2.823684999999999715e-04 4.477005926951180682e-04
1.983349864079999789e-02 1.054199981003208636e-02 1.052468999999999974e-02 2.602983999999999810e-04 4.502244240799137547e-04
2.026001910404999842e-02 9.589694060832565717e-03 9.886167999999998998e-03 2.480819000000000210e-04 4.529512505866829081e-04
2.070529333274999731e-02 8.680538619113933527e-03 8.695867999999998960e-03 2.298651000000000025e-04 4.559031353579507751e-04
2.117058269744999735e-02 7.815903892379958903e-03 8.294114000000000000e-03 2.200681000000000013e-04 4.591042075980571809e-04
2.165726323874999498e-02 6.997061326592040470e-03 6.687173000000000249e-03 1.962335999999999909e-04 4.625828551739028936e-04
2.216684651639999962e-02 6.225145462358788045e-03 6.335546999999999533e-03 1.884264000000000024e-04 4.663704045834812686e-04
2.270099003384999647e-02 5.501137191941198740e-03 5.460417999999999869e-03 1.716231999999999936e-04 4.705027927231144485e-04
2.326150766279999615e-02 4.825842213226651939e-03 4.915309999999999992e-03 1.607389000000000138e-04 4.750215903624171055e-04
2.347405381275000091e-02 4.588646598773490036e-03 4.738107000000000082e-03 1.002866000000000098e-04 4.584423298726242107e-04
2.380701393974999497e-02 4.241380078206932573e-03 4.506661000000000347e-03 9.296041000000000601e-05 4.602669835131018797e-04
2.385040091684999947e-02 4.199843223487825447e-03 4.441950000000000065e-03 1.517389999999999917e-04 4.799737542889715271e-04
2.414956465274999825e-02 3.909742335027420641e-03 3.826177000000000050e-03 8.283678000000000482e-05 4.621787502033818302e-04
2.450211250919999764e-02 3.593770973602332906e-03 3.527738999999999788e-03 7.553655000000000102e-05 4.641833525222118450e-04
2.486510576474999790e-02 3.293456597593042486e-03 3.356956999999999823e-03 7.212979000000000114e-05 4.662868211425667581e-04
