# Run 132743
-1.1551E-01	-1.1020E-01	-5.2831E-05
-1.1551E-01	-1.0754E-01	1.9210E-02
-1.1551E-01	-1.0487E-01	-1.3261E-04
-1.1551E-01	-1.0220E-01	1.9094E-02
-1.1551E-01	-9.9536E-02	1.1990E-02
-1.1551E-01	-9.6869E-02	-9.9696E-05
-1.1551E-01	-9.4202E-02	2.2805E-02
-1.1551E-01	-9.1536E-02	2.0706E-02
-1.1551E-01	-8.8869E-02	1.8951E-02
-1.1551E-01	-8.6202E-02	1.4924E-02
-1.1551E-01	-8.3535E-02	2.7396E-02
-1.1551E-01	-8.0868E-02	8.2103E-03
-1.1551E-01	-7.8202E-02	8.3443E-03
-1.1551E-01	-7.5535E-02	2.8549E-02
-1.1551E-01	-7.2868E-02	-1.2640E-05
-1.1551E-01	-7.0201E-02	3.1479E-02
-1.1551E-01	-6.7534E-02	4.2326E-03
-1.1551E-01	-6.4867E-02	2.2219E-02
-1.1551E-01	-6.2201E-02	2.2066E-02
-1.1551E-01	-5.9534E-02	3.3161E-02
-1.1551E-01	-5.6867E-02	9.5882E-03
-1.1551E-01	-5.4200E-02	8.8664E-03
-1.1551E-01	-5.1533E-02	1.5804E-02
-1.1551E-01	-4.8866E-02	4.2063E-03
-1.1551E-01	-4.6200E-02	1.0581E-02
-1.1551E-01	-4.3533E-02	1.7373E-02
-1.1551E-01	-4.0866E-02	1.6988E-02
-1.1551E-01	-3.8199E-02	9.4137E-03
-1.1551E-01	-3.5532E-02	1.8762E-02
-1.1551E-01	-3.2866E-02	3.5716E-03
-1.1551E-01	-3.0199E-02	1.9231E-02
-1.1551E-01	-2.7532E-02	3.4884E-03
-1.1551E-01	-2.4865E-02	2.4843E-02
-1.1551E-01	-2.2198E-02	1.6271E-02
-1.1551E-01	-1.9531E-02	9.4473E-03
-1.1551E-01	-1.6865E-02	1.7635E-02
-1.1551E-01	-1.4198E-02	9.8716E-03
-1.1551E-01	-1.1531E-02	9.8767E-03
-1.1551E-01	-8.8642E-03	1.4159E-02
-1.1551E-01	-6.1974E-03	2.5528E-02
-1.1551E-01	-3.5305E-03	1.0112E-02
-1.1551E-01	-8.6372E-04	1.8183E-02
-1.1551E-01	1.8031E-03	3.4920E-02
-1.1551E-01	4.4699E-03	-5.6647E-05
-1.1551E-01	7.1367E-03	1.0052E-02
-1.1551E-01	9.8036E-03	8.0747E-03
-1.1551E-01	1.2470E-02	1.1506E-02
-1.1551E-01	1.5137E-02	5.1633E-03
-1.1551E-01	1.7804E-02	2.4462E-02
-1.1551E-01	2.0471E-02	2.0239E-02
-1.1551E-01	2.3138E-02	2.0961E-02
-1.1551E-01	2.5804E-02	3.3578E-02
